Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
MCM2,ENSG00000073111.13,19.8,4.33,1.964,2.6900000000000003e-185
LLGL2,ENSG00000073350.13,48.462,19.36,1.281,1.9300000000000003e-124
MRPS34,ENSG00000074071.13,125.304,49.148,1.333,3.1999999999999996e-172
PPP2R2C,ENSG00000074211.13,3.7,0.31,1.843,1.0299999999999999e-55
HACD3,ENSG00000074696.12,90.653,25.01,1.817,7.4e-114
GTSE1,ENSG00000075218.18,4.54,0.52,1.866,8.65e-162
WDR62,ENSG00000075702.16,2.88,0.51,1.362,2.9599999999999997e-146
SPAG5,ENSG00000076382.16,16.03,3.17,2.03,6.57e-158
TPD52,ENSG00000076554.15,178.675,26.62,2.702,3.28e-187
UBE2T,ENSG00000077152.9,31.639,2.32,3.297,5.620000000000001e-302
GPR137B,ENSG00000077585.13,23.35,10.45,1.089,1.0800000000000001e-57
LAMP3,ENSG00000078081.7,2.31,0.4,1.241,2.72e-51
FAP,ENSG00000078098.13,30.399,11.62,1.315,5.55e-51
PAFAH1B3,ENSG00000079462.7,101.061,15.27,2.649,0.0
KIF22,ENSG00000079616.12,55.741,23.209,1.229,1.52e-171
HSP90AA1,ENSG00000080824.18,555.713,274.335,1.016,3.02e-60
NDC80,ENSG00000080986.12,7.5,0.56,2.446,2.87e-208
SERTAD4,ENSG00000082497.11,14.88,5.34,1.325,1.9299999999999997e-54
GRHL2,ENSG00000083307.10,24.08,7.77,1.516,6.9500000000000005e-133
ZMPSTE24,ENSG00000084073.8,43.73,19.631,1.116,4.55e-99
KIAA1467,ENSG00000084444.13,15.2,5.22,1.381,3.48e-39
NKAIN1,ENSG00000084628.9,9.03,0.21,3.051,9.76e-90
RAB10,ENSG00000084733.10,87.117,39.17,1.133,1.7299999999999998e-89
IGSF9,ENSG00000085552.16,14.34,3.62,1.731,1.94e-134
TTC39A,ENSG00000085831.15,72.892,13.62,2.337,4.32e-92
ORC1,ENSG00000085840.12,2.08,0.39,1.148,8.17e-106
RAD54L,ENSG00000085999.11,3.95,0.61,1.62,6.34e-148
TMED2,ENSG00000086598.10,202.91,81.718,1.302,3.35e-126
PPEF1,ENSG00000086717.18,1.35,0.17,1.006,5.21e-81
ERGIC2,ENSG00000087502.17,68.96,31.541,1.104,1.8999999999999998e-90
SULT2B1,ENSG00000088002.11,9.82,4.23,1.049,1.2000000000000001e-29
TPX2,ENSG00000088325.15,22.62,1.05,3.526,7.52e-274
OAS1,ENSG00000089127.12,37.33,14.19,1.335,1.07e-61
FXYD3,ENSG00000089356.16,440.164,122.513,1.837,5.780000000000001e-124
