,,,,,
AKAP7,ENSG00000118507.15,2.645,7.885,-1.285,2.00e-11
AKR1B10,ENSG00000198074.9,2.785,30.637,-3.063,1.75e-4
AKR1C1,ENSG00000187134.12,21.724,105.554,-2.229,5.63e-4
AKT3,ENSG00000117020.16,2.710,13.787,-1.995,4.38e-13
AL589743.1,ENSG00000279508.1,3.585,0.300,1.819,2.41e-9
ALDH1A1,ENSG00000165092.12,4.225,25.385,-2.336,9.67e-7
ALDH1B1,ENSG00000137124.6,13.270,41.823,-1.585,1.93e-13
ALDH1L1,ENSG00000144908.13,7.185,33.855,-2.090,3.07e-5
ALDH2,ENSG00000111275.12,23.475,119.518,-2.300,4.33e-13
ALDH3B2,ENSG00000132746.14,19.983,3.895,2.100,4.60e-5
ALDH6A1,ENSG00000119711.12,4.175,10.090,-1.100,9.94e-12
ALOX12P2,ENSG00000262943.7,2.690,0.645,1.166,8.15e-3
ALOX5AP,ENSG00000132965.9,9.570,20.540,-1.027,9.70e-3
ALPK3,ENSG00000136383.6,0.755,2.817,-1.121,6.45e-10
ALYREF,ENSG00000183684.7,110.033,49.957,1.124,7.65e-10
AMICA1,ENSG00000160593.17,3.370,9.669,-1.288,9.05e-4
AMOT,ENSG00000126016.13,1.030,3.565,-1.169,5.46e-3
AMOTL1,ENSG00000166025.17,6.100,18.287,-1.442,3.51e-11
AMOTL2,ENSG00000114019.14,10.555,24.900,-1.164,1.33e-5
AMPH,ENSG00000078053.16,0.260,1.722,-1.111,1.23e-11
AMT,ENSG00000145020.14,6.970,16.337,-1.121,5.42e-7
AMY2B,ENSG00000240038.6,2.410,7.513,-1.320,4.09e-8
ANAPC11,ENSG00000141552.17,220.800,107.072,1.037,8.45e-16
ANG,ENSG00000214274.9,6.145,20.449,-1.586,2.68e-12
ANGPTL1,ENSG00000116194.12,0.210,13.816,-3.614,3.74e-35
ANGPTL2,ENSG00000136859.9,10.115,46.639,-2.100,2.60e-9
ANGPTL7,ENSG00000171819.4,0.010,1.464,-1.286,1.55e-42
